osmid,name,start_lat,start_lon,end_lat,end_lon,slope_percentage,abs_slope_percentage,length,geometry
625851680,North Negley Avenue,40.4772422,-79.9237486,40.4779757,-79.92329,-2.153006505,2.153006505,90.316,"LINESTRING (-79.9237486 40.4772422, -79.92329 40.4779757)"
625851680,North Negley Avenue,40.4779757,-79.92329,40.4772422,-79.9237486,2.153006505,2.153006505,90.316,"LINESTRING (-79.92329 40.4779757, -79.9237486 40.4772422)"
11709500,Elgin Street,40.4779757,-79.92329,40.477192,-79.9212154,2.250234283,2.250234283,195.92,"LINESTRING (-79.92329 40.4779757, -79.9227405 40.4777681, -79.9212154 40.477192)"
11709500,Elgin Street,40.4779757,-79.92329,40.4784759,-79.9245459,-0.059697501,0.059697501,119.96,"LINESTRING (-79.92329 40.4779757, -79.9239225 40.4782228, -79.9242388 40.4783394, -79.9244075 40.4784113, -79.9245459 40.4784759)"
625851680,North Negley Avenue,40.4779757,-79.92329,40.4787153,-79.9228433,-1.589073642,1.589073642,90.506,"LINESTRING (-79.92329 40.4779757, -79.9230817 40.4783226, -79.9228584 40.4786924, -79.9228433 40.4787153)"
11719387,Callowhill Street,40.4787153,-79.9228433,40.4779265,-79.9207758,4.500144043,4.500144043,195.648,"LINESTRING (-79.9228433 40.4787153, -79.922286 40.4784964, -79.921818 40.4783126, -79.9207758 40.4779265)"
625851680,North Negley Avenue,40.4787153,-79.9228433,40.4794189,-79.9224138,2.539043889,2.539043889,86.259,"LINESTRING (-79.9228433 40.4787153, -79.9224318 40.4793884, -79.9224138 40.4794189)"
625851680,North Negley Avenue,40.4787153,-79.9228433,40.4779757,-79.92329,1.589073642,1.589073642,90.506,"LINESTRING (-79.9228433 40.4787153, -79.9228584 40.4786924, -79.9230817 40.4783226, -79.92329 40.4779757)"
625851680,North Negley Avenue,40.4794189,-79.9224138,40.4787153,-79.9228433,-2.539043889,2.539043889,86.259,"LINESTRING (-79.9224138 40.4794189, -79.9224318 40.4793884, -79.9228433 40.4787153)"
11841069,Laird Street,40.4817138,-80.0269733,40.4825129,-80.0270364,0.956149863,0.956149863,89.016,"LINESTRING (-80.0269733 40.4817138, -80.0270364 40.4825129)"
11651904,Davis Avenue,40.4816061,-80.0278936,40.4815769,-80.0280129,3.858852914,3.858852914,10.6,"LINESTRING (-80.0278936 40.4816061, -80.0280129 40.4815769)"
313527290,Harbison Avenue,40.4816061,-80.0278936,40.4844068,-80.029165,4.3921032,4.3921032,348.949,"LINESTRING (-80.0278936 40.4816061, -80.0280284 40.4833746, -80.0280385 40.4834343, -80.028062 40.4834939, -80.0280874 40.4835408, -80.0281277 40.4835878, -80.0281719 40.4836301, -80.029165 40.4844068)"
11651904,Davis Avenue,40.4814353,-80.0295061,40.4819263,-80.0328139,-2.265508875,2.265508875,285.04,"LINESTRING (-80.0295061 40.4814353, -80.0328139 40.4819263)"
11651904,Davis Avenue,40.4814353,-80.0295061,40.4815769,-80.0280129,-4.85907175,4.85907175,130.151,"LINESTRING (-80.0295061 40.4814353, -80.0291366 40.4813805, -80.0290094 40.4813753, -80.0288977 40.4813779, -80.0288049 40.481391, -80.0280129 40.4815769)"
11651904,Davis Avenue,40.4819263,-80.0328139,40.4814353,-80.0295061,2.265508875,2.265508875,285.04,"LINESTRING (-80.0328139 40.4819263, -80.0295061 40.4814353)"
11651904,Davis Avenue,40.4819263,-80.0328139,40.4817084,-80.0339443,3.187060034,3.187060034,98.627,"LINESTRING (-80.0328139 40.4819263, -80.0331952 40.4818528, -80.0334381 40.481806, -80.0339443 40.4817084)"
11710836,Wapello Street,40.4819263,-80.0328139,40.4810904,-80.0328649,-4.606990481,4.606990481,93.147,"LINESTRING (-80.0328139 40.4819263, -80.0328048 40.4818746, -80.0328649 40.4810904)"
11651904,Davis Avenue,40.4817084,-80.0339443,40.4819263,-80.0328139,-3.187060034,3.187060034,98.627,"LINESTRING (-80.0339443 40.4817084, -80.0334381 40.481806, -80.0331952 40.4818528, -80.0328139 40.4819263)"
405680702,Davis Avenue,40.4817084,-80.0339443,40.4815388,-80.0348649,0.555845265,0.555845265,80.114,"LINESTRING (-80.0339443 40.4817084, -80.0347454 40.4815624, -80.0348649 40.4815388)"
405681460,Brighton Road,40.4817084,-80.0339443,40.4821027,-80.0346352,1.864300535,1.864300535,73.054,"LINESTRING (-80.0339443 40.4817084, -80.034553 40.4820558, -80.0346352 40.4821027)"
11701355,McClure Avenue,40.4812769,-80.0360128,40.4820744,-80.0362564,2.122292999,2.122292999,91.04,"LINESTRING (-80.0360128 40.4812769, -80.0362564 40.4820744)"
54365549,Davis Avenue,40.4812769,-80.0360128,40.4809607,-80.0373265,-0.012138758,0.012138758,116.539,"LINESTRING (-80.0360128 40.4812769, -80.0373265 40.4809607)"
54365549,Davis Avenue,40.4812769,-80.0360128,40.4815388,-80.0348649,0.025188032,0.025188032,101.372,"LINESTRING (-80.0360128 40.4812769, -80.035049 40.4815023, -80.0348649 40.4815388)"
11831012,Lees Street,40.4809607,-80.0373265,40.4801415,-80.0370754,-3.217824534,3.217824534,93.534,"LINESTRING (-80.0373265 40.4809607, -80.0370754 40.4801415)"
54365549,Davis Avenue,40.4809607,-80.0373265,40.4804911,-80.0393119,0.152378136,0.152378136,175.852,"LINESTRING (-80.0373265 40.4809607, -80.0393119 40.4804911)"
54365549,Davis Avenue,40.4809607,-80.0373265,40.4812769,-80.0360128,0.012138758,0.012138758,116.539,"LINESTRING (-80.0373265 40.4809607, -80.0360128 40.4812769)"
54365549,Davis Avenue,40.4804911,-80.0393119,40.4809607,-80.0373265,-0.152378136,0.152378136,175.852,"LINESTRING (-80.0393119 40.4804911, -80.0373265 40.4809607)"
11835092,Fleming Avenue,40.4804911,-80.0393119,40.4813812,-80.0395888,0.738025049,0.738025049,101.708,"LINESTRING (-80.0393119 40.4804911, -80.0394469 40.4809251, -80.0395888 40.4813812)"
11835092,Fleming Avenue,40.4804911,-80.0393119,40.4797748,-80.039088,-3.06744339,3.06744339,81.87,"LINESTRING (-80.0393119 40.4804911, -80.0391815 40.480074, -80.039088 40.4797748)"
54365549,Davis Avenue,40.4804911,-80.0393119,40.4802409,-80.0403622,-2.359031422,2.359031422,93.087,"LINESTRING (-80.0393119 40.4804911, -80.0398352 40.4803666, -80.0403622 40.4802409)"
11853941,Massachusetts Avenue,40.4802409,-80.0403622,40.4781794,-80.0397162,-2.397707106,2.397707106,235.65,"LINESTRING (-80.0403622 40.4802409, -80.0397162 40.4781794)"
11853941,Massachusetts Avenue,40.4802409,-80.0403622,40.4811921,-80.0406602,-1.655248725,1.655248725,108.73,"LINESTRING (-80.0403622 40.4802409, -80.0404609 40.4805561, -80.0406602 40.4811921)"
54365549,Davis Avenue,40.4802409,-80.0403622,40.4800726,-80.0410674,-2.932826368,2.932826368,62.512,"LINESTRING (-80.0403622 40.4802409, -80.0405252 40.480202, -80.0410674 40.4800726)"
54365549,Davis Avenue,40.4802409,-80.0403622,40.4804911,-80.0393119,2.359031422,2.359031422,93.087,"LINESTRING (-80.0403622 40.4802409, -80.0398352 40.4803666, -80.0393119 40.4804911)"
54362036,California Avenue,40.4800726,-80.0410674,40.4790267,-80.0407561,2.498649805,2.498649805,119.242,"LINESTRING (-80.0410674 40.4800726, -80.0407561 40.4790267)"
54364536,Davis Avenue,40.4800726,-80.0410674,40.4799007,-80.0418039,-3.418667285,3.418667285,65.159,"LINESTRING (-80.0410674 40.4800726, -80.0418039 40.4799007)"
405680701,California Avenue,40.4800726,-80.0410674,40.4805116,-80.0412091,-0.861769855,0.861769855,50.264,"LINESTRING (-80.0410674 40.4800726, -80.0412091 40.4805116)"
54365549,Davis Avenue,40.4800726,-80.0410674,40.4802409,-80.0403622,2.932826368,2.932826368,62.512,"LINESTRING (-80.0410674 40.4800726, -80.0405252 40.480202, -80.0403622 40.4802409)"
11697669,Mexico Street,40.4799007,-80.0418039,40.4803767,-80.0419522,-1.961412967,1.961412967,54.395,"LINESTRING (-80.0418039 40.4799007, -80.0419522 40.4803767)"
11697669,Mexico Street,40.4799007,-80.0418039,40.4788954,-80.0414909,2.717442649,2.717442649,114.876,"LINESTRING (-80.0418039 40.4799007, -80.0414909 40.4788954)"
54364536,Davis Avenue,40.4799007,-80.0418039,40.4800726,-80.0410674,3.418667285,3.418667285,65.159,"LINESTRING (-80.0418039 40.4799007, -80.0410674 40.4800726)"
11651910,Hoffman Street,40.4598876,-80.0285058,40.4596963,-80.0295215,-2.8402664,2.8402664,88.526,"LINESTRING (-80.0285058 40.4598876, -80.0287662 40.4598386, -80.0295215 40.4596963)"
11651910,Hoffman Street,40.4596963,-80.0295215,40.4595786,-80.0301468,-2.213008367,2.213008367,54.498,"LINESTRING (-80.0295215 40.4596963, -80.0301468 40.4595786)"
11953158,Knott Street,40.4596963,-80.0295215,40.4601993,-80.0296921,0.667970846,0.667970846,57.763,"LINESTRING (-80.0295215 40.4596963, -80.0296921 40.4601993)"
11953158,Knott Street,40.4596963,-80.0295215,40.459282,-80.0293886,3.296583726,3.296583726,47.42,"LINESTRING (-80.0295215 40.4596963, -80.0293886 40.459282)"
11651910,Hoffman Street,40.4596963,-80.0295215,40.4598876,-80.0285058,2.8402664,2.8402664,88.526,"LINESTRING (-80.0295215 40.4596963, -80.0287662 40.4598386, -80.0285058 40.4598876)"
11651910,Hoffman Street,40.4595786,-80.0301468,40.4596963,-80.0295215,2.213008367,2.213008367,54.498,"LINESTRING (-80.0301468 40.4595786, -80.0295215 40.4596963)"
511352003,Chateau Street,40.4595786,-80.0301468,40.4615247,-80.0312689,0.377099514,0.377099514,242.749,"LINESTRING (-80.0301468 40.4595786, -80.0303262 40.4601367, -80.0304982 40.4606718, -80.0305267 40.4607467, -80.0305577 40.4608284, -80.0306221 40.4609508, -80.0306671 40.4610129, -80.0307508 40.4611284, -80.0308562 40.4612254, -80.0309447 40.4612964, -80.0309895 40.4613323, -80.0311317 40.4614345, -80.0312689 40.4615247)"
11708623,Dartmore Street,40.394473,-79.996284,40.3930722,-79.9963387,-2.990134387,2.990134387,155.831,"LINESTRING (-79.996284 40.394473, -79.9963387 40.3930722)"
54338597,North Canal Street,40.4539394,-79.9978399,40.4535947,-79.9977393,-3.748652171,3.748652171,39.263,"LINESTRING (-79.9978399 40.4539394, -79.9977393 40.4535947)"
54338620,East Ohio Street,40.4539394,-79.9978399,40.4540865,-79.9968141,-0.248404808,0.248404808,88.33,"LINESTRING (-79.9978399 40.4539394, -79.9976945 40.4539567, -79.9968721 40.4540787, -79.9968141 40.4540865)"
11854659,Merrick Avenue,40.3916597,-80.0131257,40.3921616,-80.0131524,0.781367477,0.781367477,55.855,"LINESTRING (-80.0131257 40.3916597, -80.0131524 40.3921616)"
54933314,Brookline Boulevard,40.3922868,-80.0108954,40.3923611,-80.0093744,-1.910405588,1.910405588,129.115,"LINESTRING (-80.0108954 40.3922868, -80.0107529 40.3923008, -80.0107069 40.3923052, -80.0100185 40.3923309, -80.0098546 40.3923386, -80.0094183 40.392359, -80.0093744 40.3923611)"
11949049,Orion Street,40.4549185,-79.9619207,40.4542658,-79.9613983,0.201481151,0.201481151,84.995,"LINESTRING (-79.9619207 40.4549185, -79.9616632 40.454612, -79.9613983 40.4542658)"
344435198,Webster Avenue,40.4549185,-79.9619207,40.4562408,-79.9565463,-2.363216274,2.363216274,552.417,"LINESTRING (-79.9619207 40.4549185, -79.9606988 40.4557571, -79.9606127 40.4558063, -79.9592927 40.4565615, -79.9586099 40.4568098, -79.958435 40.4568463, -79.9582575 40.4568532, -79.9580955 40.4568287, -79.9580076 40.4567805, -79.9579076 40.4567106, -79.9576658 40.4565262, -79.9574968 40.4564299, -79.9572903 40.4563123, -79.9570343 40.4562054, -79.9569344 40.4561899, -79.9568291 40.4562017, -79.9565463 40.4562408)"
625866866,Webster Avenue,40.4549185,-79.9619207,40.4540574,-79.9631781,-1.707866111,1.707866111,143.133,"LINESTRING (-79.9619207 40.4549185, -79.962384 40.4546045, -79.9631781 40.4540574)"
11818832,Bethoven Street,40.4576198,-79.9625842,40.4570519,-79.963899,1.20905843,1.20905843,127.916,"LINESTRING (-79.9625842 40.4576198, -79.9634915 40.4572279, -79.963899 40.4570519)"
625462655,Josephine Street,40.4238092,-79.9689047,40.4237351,-79.9686444,4.198902387,4.198902387,23.524,"LINESTRING (-79.9689047 40.4238092, -79.9686444 40.4237351)"
625462655,Josephine Street,40.4238092,-79.9689047,40.4241029,-79.9699647,-2.861355009,2.861355009,95.486,"LINESTRING (-79.9689047 40.4238092, -79.9689954 40.4238338, -79.9699647 40.4241029)"
11819448,"['Anninston Way', 'Holbrook Street', 'Knapp Street']",40.4713727,-80.0337275,40.4707667,-80.0356401,-1.72051359,1.72051359,259.694,"LINESTRING (-80.0337275 40.4713727, -80.0336823 40.4711194, -80.0336832 40.4710631, -80.0336899 40.4710367, -80.03372 40.4710153, -80.0337443 40.4710066, -80.0337778 40.4710031, -80.0346873 40.471045, -80.0351413 40.4711862, -80.0352593 40.4712003, -80.0357569 40.4711338, -80.0356401 40.4707667)"
